grad,opstina,kvart,kvadratura,broj_soba,spratnost,stanje,grejanje,cena,lift,podrum,terasa
Beograd,Palilula opština,Krnjača,51.0,2.5 soba,3/3 sprata,,Etažno grejanje,74990.0,,,Da
Beograd,Grocka opština,Kaluđerica,37.0,1.5 soba,Visoko prizemlje/3 sprata,Renovirano,,60000.0,,,Da
Beograd,Rakovica opština,Vidikovac,35.0,1.5 soba,3/3 sprata,,Etažno grejanje,60000.0,,,Da
Beograd,Zvezdara opština,Mirijevo,81.0,3.5 soba,Prizemlje/4 sprata,Renovirano,Centralno grejanje,166000.0,Da,,Da
Beograd,Zvezdara opština,Mirijevo,54.0,2.5 soba,Prizemlje/5 spratova,,Centralno grejanje,118000.0,Da,,
Beograd,Vračar,Istočni Vračar,125.0,5 soba,3/3 sprata,,Centralno grejanje,415000.0,,,Da
Beograd,Zvezdara opština,Mirijevo,66.0,3 sobe,1/4 sprata,,Etažno grejanje,125000.0,,,Da
Beograd,Rakovica opština,Skojevsko Naselje,106.0,4 sobe,2/3 sprata,,Centralno grejanje,250000.0,,,Da
Beograd,Vračar,Kalenić,67.0,3 sobe,6/8 spratova,,Centralno grejanje,259000.0,,,Da
Beograd,Voždovac opština,Medaković,39.0,1 soba,1/8 spratova,,Centralno grejanje,92000.0,,,Da
Beograd,Savski Venac,Beograđanka,76.0,3 sobe,1/6 spratova,,Centralno grejanje,279000.0,,,Da
Beograd,Stari Grad opština,Skupština,106.0,4 sobe,2/4 sprata,,Grejanje na struju,370000.0,,,
Beograd,Vračar,Kalenić,83.0,3 sobe,5/5 spratova,,Centralno grejanje,255000.0,Da,,Da
Beograd,Rakovica opština,Rakovica,34.0,1 soba,2/2 sprata,Renovirano,Centralno grejanje,67000.0,,,
Beograd,Savski Venac,Zeleni Venac,93.0,6 soba,1/5 spratova,,Grejanje na struju,283000.0,,,Da
Beograd,Novi Beograd,Hotel YU,73.0,3 sobe,7/8 spratova,,Centralno grejanje,210000.0,Da,,Da
Beograd,Voždovac opština,Braće Jerković,55.0,2 sobe,Visoko prizemlje/11 spratova,,Centralno grejanje,132000.0,Da,,
